Entidad,Antigüedad,Seguro,TIN Aplicado,24m,36m,48m,60m,72m,84m,96-120m
COFIDIS,Desde 84 meses,No,0.0999,0.0975,0.1075,0.1175,0.1475,0.1225,0.0975,0.0775
COFIDIS,Desde 84 meses,No,0.1099,0.11,0.11,0.1225,0.1575,0.1375,0.1075,0.0875
COFIDIS,Desde 84 meses,No,0.1199,-,0.1175,0.1325,0.1675,0.1475,0.1175,0.0975
SABADELL,Hasta 95 meses,Si,0.0699,-,-,0.0975,0.125,0.14,0.14,0.14
SABADELL,Hasta 95 meses,Si,0.0799,-,-,0.1175,0.16,0.1825,0.1825,0.1825
SABADELL,Hasta 95 meses,Si,0.0899,-,-,0.145,0.1875,0.215,0.215,0.215
SABADELL,Hasta 95 meses,Si,0.0999,-,-,0.17,0.245,0.2725,0.2725,0.2725
SABADELL,Hasta 95 meses,Si,0.1099,-,-,0.18,0.255,0.2775,0.2775,0.2775
SABADELL,Hasta 95 meses,No,0.0699,-,-,0.0875,0.105,0.11,0.11,0.11
SABADELL,Hasta 95 meses,No,0.0799,-,-,0.1075,0.14,0.1525,0.1525,0.1525
SABADELL,Hasta 95 meses,No,0.0899,-,-,0.135,0.1675,0.185,0.185,0.185
SABADELL,Hasta 95 meses,No,0.0999,-,-,0.16,0.225,0.2425,0.2425,0.2425
SABADELL,Hasta 95 meses,No,0.1099,-,-,0.17,0.235,0.2475,0.2475,0.2475
SABADELL,Desde 96 meses,Si,0.0699,-,-,-,-,-,-,-
SABADELL,Desde 96 meses,Si,0.0799,0.0875,0.09,0.0975,0.14,0.1525,0.15,0.15
SABADELL,Desde 96 meses,Si,0.0899,0.1075,0.1125,0.1225,0.155,0.1675,0.165,0.165
SABADELL,Desde 96 meses,Si,0.0999,0.1125,0.1275,0.1475,0.165,0.1775,0.175,0.175
SABADELL,Desde 96 meses,Si,0.1099,0.1175,0.1425,0.1725,0.19,0.2025,0.2,0.2
SABADELL,Desde 96 meses,Si,0.1199,-,-,-,-,-,-,-
SABADELL,Desde 96 meses,No,0.0699,-,-,-,-,-,-,-
SABADELL,Desde 96 meses,No,0.0799,0.0825,0.085,0.0875,0.12,0.1225,0.12,0.12
SABADELL,Desde 96 meses,No,0.0899,0.1025,0.1075,0.1125,0.135,0.1375,0.135,0.135
SABADELL,Desde 96 meses,No,0.0999,0.1075,0.1225,0.1375,0.145,0.1475,0.145,0.145
SABADELL,Desde 96 meses,No,0.1099,0.1125,0.1375,0.1625,0.17,0.1725,0.17,0.17
SABADELL,Desde 96 meses,No,0.1199,-,-,-,-,-,-,-
SOFINCO,Hasta 95 meses,Si,0.0699,-,0.06,0.06,0.1075,0.1075,0.1075,0.1075
SOFINCO,Hasta 95 meses,Si,0.0799,-,0.065,0.08,0.135,0.1425,0.15,0.15
SOFINCO,Hasta 95 meses,Si,0.0899,-,0.08,0.09,0.1625,0.1825,0.1975,0.1975
SOFINCO,Hasta 95 meses,Si,0.0999,-,0.1,0.13,0.2075,0.245,0.27,0.27
SOFINCO,Hasta 95 meses,Si,0.1099,-,0.1,0.125,0.21,0.25,0.275,0.275
SOFINCO,Hasta 95 meses,No,0.0699,-,0.02,0.02,0.0325,0.0325,0.0325,0.0325
SOFINCO,Hasta 95 meses,No,0.0799,-,0.025,0.04,0.06,0.0675,0.075,0.075
SOFINCO,Hasta 95 meses,No,0.0899,-,0.04,0.05,0.0875,0.1075,0.1225,0.1225
SOFINCO,Hasta 95 meses,No,0.0999,-,0.06,0.09,0.1325,0.17,0.195,0.195
SOFINCO,Hasta 95 meses,No,0.1099,-,0.06,0.085,0.135,0.175,0.2,0.2
SOFINCO,Desde 96 meses,Si,0.0699,-,-,-,-,-,-,-
SOFINCO,Desde 96 meses,Si,0.0799,-,0.06,0.06,0.1075,0.1075,0.1075,0.1075
SOFINCO,Desde 96 meses,Si,0.0899,-,0.065,0.08,0.135,0.1425,0.15,0.15
SOFINCO,Desde 96 meses,Si,0.0999,-,0.08,0.09,0.1625,0.1825,0.1975,0.1975
SOFINCO,Desde 96 meses,Si,0.1099,-,0.1,0.13,0.2075,0.245,0.27,0.27
SOFINCO,Desde 96 meses,Si,0.1199,-,0.1,0.125,0.21,0.25,0.275,0.275
SOFINCO,Desde 96 meses,No,0.0699,-,-,-,-,0.0275,-,-
SOFINCO,Desde 96 meses,No,0.0799,-,0.02,0.02,0.0325,0.0325,0.0325,0.0325
SOFINCO,Desde 96 meses,No,0.0899,-,0.025,0.04,0.06,0.0675,0.075,0.075
SOFINCO,Desde 96 meses,No,0.0999,-,0.04,0.05,0.0875,0.1075,0.1225,0.1225
SOFINCO,Desde 96 meses,No,0.1099,-,0.06,0.09,0.1325,0.17,0.195,0.195
SOFINCO,Desde 96 meses,No,0.1199,-,0.06,0.085,0.135,0.175,0.2,0.2
